code,Region Name,Sub-region Name,country,slope,error,number_of_points,start_date,end_date,r0,r0_error,pf_eigenvalue,pf_eigenvalue [0],"pf_eigenvalue [0, 1]","pf_eigenvalue [0, 1, 2]","pf_eigenvalue [0, 1, 2, 3]","pf_eigenvalue [0, 1, 2, 3, 4]","pf_eigenvalue [0, 1, 2, 3, 4, 5]","pf_eigenvalue [0, 1, 2, 3, 4, 5, 6]","pf_eigenvalue [0, 1, 2, 3, 4, 5, 6, 7]"
BFA,Africa,Sub-Saharan Africa,Burkina Faso,-0.0255857,0.00148663,66,2020-09-13,2020-11-17,0.870105986834909,0.007084341015827204,26.38450046504426,25.484358926900978,21.101722043449982,15.956195254945698,9.61722440442205,7.905578038254826,6.427441454994849,5.154232166174839,3.9248835532145776
BGD,Asia,Southern Asia,Bangladesh,0.052902199999999996,0.00102789,64,2020-04-09,2020-06-11,1.3252623176324325,0.00714881787009044,21.54064720346405,21.307435126072846,19.74083974695321,15.215501081740817,9.877576741596037,7.834835902831949,6.151953001030883,4.67311759730617,3.203298951634484
BGR,Europe,Eastern Europe,Bulgaria,-0.0097916,0.00265054,41,2020-04-17,2020-05-27,0.9483639203517743,0.013647060687464517,13.374330888504682,13.152794776490163,12.862507277986223,12.476720284111998,11.519356323499448,10.548347020479307,9.222994703510626,7.6647030233833275,5.974423709582489
BHR,Asia,Western Asia,Bahrain,0.0348096,0.000869487,77,2020-04-04,2020-06-19,1.2046655150991934,0.00555033376426015,18.638750160586483,18.197178952108725,17.639604324727603,17.152584971133358,16.290199534231576,14.495517251504873,10.529052899418756,7.385420362070142,4.838579997738344
BHS,Americas,Latin America and the Caribbean,Bahamas,0.010134,0.000720305,93,2020-07-28,2020-10-28,1.056088775140114,0.004085132165410887,20.405701876112023,20.29332753810194,19.912165575447585,18.79459790598814,10.923704546479488,9.514312674260905,8.200423493889849,6.886218101507218,5.3549946844902045
BIH,Europe,Southern Europe,Bosnia and Herzegovina,-0.0178653,0.0012376,70,2020-03-30,2020-06-07,0.9076033472551347,0.006125503065961458,16.652715857183875,16.615778856345088,16.34458754655476,15.036519043188616,8.023108244276111,6.584456423645201,5.736278746722184,5.0390590357494265,4.292181040439804
BLR,Europe,Eastern Europe,Belarus,0.199604,0.0116417,14,2020-04-02,2020-04-15,2.7812486389949305,0.15760865112916433,14.91678705319422,14.70652152447133,14.496382191461793,14.107456111978935,12.36760463863181,10.839089067206093,9.0797772279214,7.402259387643832,5.621791349010447
BLZ,Americas,Latin America and the Caribbean,Belize,0.00858835,0.000566173,111,2020-08-14,2020-12-02,1.0473554055279786,0.003187119645744117,24.274467354454107,23.881703860309173,21.9434515055058,17.69002404485782,9.965205651750274,8.389327984050006,6.8528404419483895,5.373880523582346,3.83738418336513
BOL,Americas,Latin America and the Caribbean,Bolivia (Plurinational State of),0.0631548,0.0017419,49,2020-04-18,2020-06-05,1.3983161171361929,0.012713059777061527,20.660306689745553,20.259534913658783,19.09303316180068,16.664279174279017,11.198650995744314,9.438067228687569,7.793087579188418,6.271007047026223,4.790410458284488
BRA,Americas,Latin America and the Caribbean,Brazil,0.132072,0.00442592,25,2020-03-17,2020-04-10,1.9908622677174213,0.044371038518484784,19.49909516121776,19.35795072366725,18.79309675981786,17.12882931194784,11.849584964566734,9.88265483623764,7.895072288978722,6.0783290048208345,4.358842518214543
BWA,Africa,Sub-Saharan Africa,Botswana,-0.175059,0.029025099999999998,9,2020-07-27,2020-08-04,0.3701770493173863,0.0641746601781439,21.890679240068827,21.536150762059613,20.27323699969297,16.27645783681589,11.538066964667747,8.545801711001173,6.310055740605431,4.553121318202806,3.1295924442684058
CAN,Americas,Northern America,Canada,0.19651,0.00896393,16,2020-03-16,2020-03-31,2.7396434795403564,0.11972378373161972,15.17236712399821,15.01071906747474,14.758814742162675,14.160265021113824,11.87998027099087,10.678200930745227,9.232948319530042,7.735078319355955,6.190315143010952
CHE,Europe,Western Europe,Switzerland,0.202301,0.00698813,19,2020-03-07,2020-03-25,2.8179775035733274,0.09572916588457356,16.324881878117107,16.260335766774382,15.990376052008006,15.140799564362819,12.600586325222526,11.547244533136745,10.112307620568568,8.606015937613877,6.958455698696962
CHL,Americas,Latin America and the Caribbean,Chile,0.055175699999999994,0.0006961760000000001,82,2020-03-18,2020-06-07,1.3411591885473302,0.004893952403178649,16.20430832537103,15.963138296443852,15.517580286765266,14.508776301724785,11.51859382425426,9.938455481226141,8.294682191629166,6.84737017636164,5.322872891210072
CMR,Africa,Sub-Saharan Africa,Cameroon,-0.0644457,0.00903219,18,2020-04-02,2020-04-19,0.7016652718022305,0.03547541974052934,25.031988721024753,24.147728627561087,20.950685169704283,16.59395974913329,11.512815660525437,9.604325182726567,7.8594560070902215,6.322274281048597,4.834364796326321
COG,Africa,Sub-Saharan Africa,Congo,0.027558999999999997,0.00577101,23,2020-07-01,2020-07-23,1.1591724338419744,0.03558652263374392,20.881815488063854,19.977382492364708,16.714636571523126,13.564230906831954,10.412777754108037,8.55843395343277,6.734611520349183,5.035016667878291,3.5152663573979344
COL,Americas,Latin America and the Caribbean,Colombia,0.038597,0.00032309099999999996,137,2020-03-23,2020-08-06,1.229061381283923,0.0020999289056743862,18.69594653496374,18.43706662123083,17.84404429314072,16.386647028969904,11.385661645905714,9.48487780739598,7.729882856929864,6.127524963192887,4.564065963510012
CPV,Africa,Sub-Saharan Africa,Cabo Verde,0.0073426,0.000391003,141,2020-06-27,2020-11-14,1.0403638460811753,0.00218784014800763,26.48332794928793,26.203501808742022,25.307005845852913,22.75051463702145,8.000887505528002,5.764838387326482,4.647477466654347,3.699532345580627,2.713062616881552
CRI,Americas,Latin America and the Caribbean,Costa Rica,0.06087619999999999,0.00153551,53,2020-06-06,2020-07-28,1.3817745906758707,0.011087552486263532,18.703302191367115,18.550614952614048,17.992010483022558,16.555081579216335,11.749744362775145,9.627337690338145,7.603029477020988,5.90572286441713,4.383476113363578
CYP,Asia,Western Asia,Cyprus,-0.0457565,0.00155377,78,2020-04-02,2020-06-18,0.7786179526849153,0.006700859050584397,15.662211493098233,15.477647247292627,15.212950231665564,14.67049606324633,12.87714754156564,11.311520560017502,9.252197678809797,7.3259208734298875,5.514342683181797
CZE,Europe,Eastern Europe,Czechia,0.113826,0.00736212,19,2020-03-15,2020-04-02,1.8153106502680827,0.0679322478007081,14.909837051776831,14.7558234952104,14.342522946627607,13.86038436586412,12.60454354366163,11.671651766306715,10.342627709519027,8.518020974618889,6.235261917646137
DEU,Europe,Western Europe,Germany,0.23954,0.00665448,19,2020-03-04,2020-03-22,3.3716570219424526,0.10710245506925158,8.514324876241336,8.402935817532901,8.299457161309466,8.009638157384302,6.77168175343432,6.099792509616661,5.507344730851606,4.737607117077741,3.869254917953556
DNK,Europe,Northern Europe,Denmark,0.0503163,0.00296467,34,2020-03-10,2020-04-12,1.3073870334845195,0.020368761239375394,14.896757387212205,14.72505754083015,14.416968247560995,13.633409968385534,11.452327915122366,10.486782784005063,9.284216734969476,7.951845411152148,6.301366468449439
DOM,Americas,Latin America and the Caribbean,Dominican Republic,0.020306499999999998,0.000338354,137,2020-03-23,2020-08-06,1.115217699946128,0.0020152080994366036,18.856697260709254,18.48617465677937,17.50290303727687,15.69866130109523,11.090473354499233,9.053741277158393,7.21804294059763,5.580868960347097,4.019427874615168
DZA,Africa,Northern Africa,Algeria,0.0199439,0.00113185,66,2020-03-25,2020-05-29,1.113059962632885,0.00672948299382937,20.04212609282391,19.8623437339732,19.41325751799027,18.001912369880095,10.366649393531723,7.07575535656556,4.928786060543551,3.57009026751293,2.36333434030898
ECU,Americas,Latin America and the Caribbean,Ecuador,0.0692999,0.00383143,28,2020-03-20,2020-04-16,1.4438172453735525,0.028779531473098044,19.46330735220489,19.142742524775663,17.724808711707816,15.286667860292747,10.488144697696008,8.779781891574661,7.201622054960757,5.719553640237244,4.235643722793857
EGY,Africa,Northern Africa,Egypt,0.045135400000000006,0.0006877039999999999,88,2020-03-22,2020-06-17,1.2722239368280404,0.004610526007988335,22.109811597513236,21.929371777275986,21.441608962534765,19.92623584723796,9.871084656151918,6.834909562806307,5.223677780814048,4.144058744136232,2.9830552214314743
