code,country,slope,error,number_of_points,start_date,end_date
ETH,Ethiopia,0.041988,0.00308698,34,2020-05-24,2020-06-26
FIN,Finland,0.0523313,0.00368948,31,2020-03-14,2020-04-13
FRA,France,0.192858,0.00620615,20,2020-03-04,2020-03-23
GAB,Gabon,0.00851786,0.00149286,56,2020-05-07,2020-07-01
GBR,United Kingdom,0.184385,0.00474393,24,2020-03-05,2020-03-28
GEO,Georgia,0.0588817,0.000960658,68,2020-09-08,2020-11-14
GHA,Ghana,0.0700693,0.00319379,33,2020-04-12,2020-05-14
GIN,Guinea,-0.00310406,0.000183365,237,2020-04-14,2020-12-06
GMB,Gambia,0.0556348,0.00440286,28,2020-07-27,2020-08-23
GNB,Guinea-Bissau,-0.0363344,0.0018061,56,2020-05-04,2020-06-28
GNQ,Equatorial Guinea,-0.299894,0.0437266,7,2020-04-28,2020-05-04
GRC,Greece,0.0408546,0.00554626,24,2020-03-15,2020-04-07
GTM,Guatemala,0.0532161,0.00128001,61,2020-04-24,2020-06-23
GUY,Guyana,-0.00166167,0.000589697,110,2020-08-20,2020-12-07
HND,Honduras,0.0406207,0.000928568,72,2020-04-29,2020-07-09
HRV,Croatia,-0.00504831,0.0044641,28,2020-03-23,2020-04-19
HTI,Haiti,-0.0174472,0.000272238,197,2020-05-17,2020-11-29
HUN,Hungary,0.0295282,0.00329065,34,2020-03-27,2020-04-29
IDN,Indonesia,0.0232299,0.000362468,130,2020-03-19,2020-07-26
IND,India,0.15103,0.00530596,23,2020-03-21,2020-04-12
IRL,Ireland,0.0820551,0.00309184,32,2020-03-18,2020-04-18
IRN,Iran,0.338426,0.0186546,10,2020-02-27,2020-03-07
IRQ,Iraq,0.0132984,0.00148944,57,2020-03-27,2020-05-22
ISL,Iceland,0.0193022,0.00683175,21,2020-03-19,2020-04-08
ISR,Israel,0.210749,0.0111862,14,2020-03-18,2020-03-31
ITA,Italy,0.202664,0.00577078,21,2020-02-24,2020-03-15
JAM,Jamaica,0.0218782,0.00203014,45,2020-08-20,2020-10-03
JOR,Jordan,0.0855854,0.00159766,51,2020-08-22,2020-10-11
JPN,Japan,0.0210821,0.00697861,21,2020-03-07,2020-03-27
KAZ,Kazakhstan,0.0332808,0.00105263,69,2020-03-29,2020-06-05
KEN,Kenya,0.0364801,0.000667441,93,2020-05-07,2020-08-07
KGZ,Kyrgyzstan,0.0115097,0.00138831,64,2020-04-12,2020-06-14
KOR,South Korea,0.216182,0.0137836,12,2020-02-22,2020-03-04
KWT,Kuwait,0.066279,0.00156225,51,2020-04-04,2020-05-24
LBN,Lebanon,-0.0546154,0.00330581,42,2020-03-26,2020-05-06
LBY,Libya,0.0421273,0.000954525,72,2020-07-04,2020-09-13
LIE,Liechtenstein,-0.0215635,0.00388388,33,2020-11-05,2020-12-07
LKA,Sri Lanka,-0.0388445,0.00492297,28,2020-04-26,2020-05-23
LSO,Lesotho,-0.0668803,0.0230788,10,2020-07-29,2020-08-07
LTU,Lithuania,-0.0152768,0.0036508,33,2020-03-25,2020-04-26
LUX,Luxembourg,-0.053403,0.00104514,86,2020-03-19,2020-06-12
LVA,Latvia,-0.0309562,0.00139363,84,2020-04-01,2020-06-23
MAR,Morocco,0.0524797,0.00342505,32,2020-03-26,2020-04-26
MDA,Moldova,0.010488,0.000137122,252,2020-03-31,2020-12-07
MDG,Madagascar,0.0198187,0.00236694,43,2020-05-22,2020-07-03
MDV,Maldives,-0.0162186,0.00119881,71,2020-04-30,2020-07-09
MEX,Mexico,0.0808596,0.00188334,45,2020-03-21,2020-05-04
MKD,Macedonia,-0.0157419,0.00169145,56,2020-04-03,2020-05-28
MLI,Mali,-0.0322091,0.00119787,80,2020-05-28,2020-08-15
MLT,Malta,0.0148624,0.000495859,119,2020-08-09,2020-12-05
MMR,Myanmar,0.0856511,0.0022407,40,2020-08-29,2020-10-07
MNE,Montenegro,0.0379453,0.0143825,13,2020-07-03,2020-07-15
MNG,Mongolia,-0.0887945,0.0132111,15,2020-11-23,2020-12-07
MOZ,Mozambique,0.0251541,0.000835131,83,2020-07-14,2020-10-04
MRT,Mauritania,0.0557753,0.00359912,31,2020-05-29,2020-06-28
MWI,Malawi,-0.0436937,0.00837275,20,2020-06-01,2020-06-20
MYS,Malaysia,0.015661,0.00304214,34,2020-03-15,2020-04-17
NAM,Namibia,0.0317173,0.00117603,65,2020-07-03,2020-09-05
NER,Niger,-0.0788323,0.00464939,31,2020-04-06,2020-05-06
NGA,Nigeria,0.0284342,0.00083684,77,2020-04-18,2020-07-03
NIC,Nicaragua,-0.010346,0.000337854,168,2020-05-19,2020-11-02
NLD,Netherlands,0.155045,0.00522969,23,2020-03-08,2020-03-30
NOR,Norway,0.0535495,0.00498082,24,2020-03-10,2020-04-02
NPL,Nepal,0.125215,0.00569391,23,2020-05-18,2020-06-09
NZL,New Zealand,0.0147478,0.00935966,17,2020-03-26,2020-04-11
OMN,Oman,0.0447252,0.000777161,81,2020-04-09,2020-06-28
OWID_KOS,Kosovo,-0.0382093,0.00230068,50,2020-04-13,2020-06-01
OWID_WRL,World,0.154467,0.0116139,12,2020-01-28,2020-02-08
PAK,Pakistan,0.0464925,0.000546501,97,2020-03-16,2020-06-20
PAN,Panama,0.0232848,0.000409342,122,2020-03-22,2020-07-21
PER,Peru,0.114282,0.00703522,20,2020-03-19,2020-04-07
PHL,Philippines,0.177277,0.0116694,14,2020-03-22,2020-04-04
POL,Poland,0.107467,0.00513855,24,2020-03-17,2020-04-09
