ISO-alpha3 Code,country,pf_eigenvalue,pf_eigenvalue [0],"pf_eigenvalue [0, 1]","pf_eigenvalue [0, 1, 2]","pf_eigenvalue [0, 1, 2, 3]","pf_eigenvalue [0, 1, 2, 3, 4]","pf_eigenvalue [0, 1, 2, 3, 4, 5]","pf_eigenvalue [0, 1, 2, 3, 4, 5, 6]","pf_eigenvalue [0, 1, 2, 3, 4, 5, 6, 7]"
CHL,Chile,16.20430832537103,15.963138296443852,15.517580286765263,14.508776301724785,11.51859382425426,9.938455481226141,8.294682191629166,6.84737017636164,5.322872891210072
CMR,Cameroon,25.031988721024753,24.147728627561087,20.95068516970428,16.59395974913329,11.512815660525437,9.604325182726566,7.859456007090221,6.322274281048598,4.834364796326321
COG,Congo,20.881815488063857,19.977382492364708,16.714636571523123,13.564230906831952,10.412777754108035,8.55843395343277,6.734611520349184,5.035016667878291,3.5152663573979344
COL,Colombia,18.69594653496374,18.437066621230827,17.84404429314072,16.386647028969904,11.385661645905712,9.484877807395979,7.729882856929864,6.127524963192886,4.564065963510011
CPV,Cabo Verde,26.483327949287933,26.203501808742026,25.307005845852913,22.750514637021446,8.000887505528002,5.764838387326482,4.647477466654346,3.699532345580627,2.713062616881552
CRI,Costa Rica,18.703302191367115,18.550614952614048,17.99201048302256,16.555081579216335,11.749744362775143,9.627337690338145,7.603029477020989,5.90572286441713,4.383476113363579
CYP,Cyprus,15.662211493098233,15.477647247292627,15.212950231665566,14.67049606324633,12.87714754156564,11.311520560017502,9.252197678809797,7.325920873429888,5.514342683181797
CZE,Czechia,14.909837051776831,14.7558234952104,14.342522946627607,13.860384365864121,12.60454354366163,11.671651766306715,10.342627709519029,8.518020974618889,6.235261917646137
DEU,Germany,8.514324876241336,8.4029358175329,8.299457161309466,8.009638157384302,6.77168175343432,6.099792509616661,5.507344730851607,4.737607117077741,3.8692549179535556
DNK,Denmark,14.896757387212205,14.72505754083015,14.416968247560995,13.633409968385534,11.452327915122364,10.486782784005062,9.284216734969476,7.951845411152149,6.301366468449439
DOM,Dominican Republic,18.856697260709254,18.486174656779372,17.50290303727687,15.69866130109523,11.090473354499231,9.053741277158393,7.21804294059763,5.580868960347096,4.019427874615168
DZA,Algeria,20.04212609282391,19.862343733973198,19.41325751799027,18.001912369880095,10.366649393531723,7.07575535656556,4.928786060543551,3.57009026751293,2.36333434030898
ECU,Ecuador,19.463307352204883,19.142742524775663,17.724808711707816,15.286667860292749,10.488144697696008,8.77978189157466,7.201622054960758,5.719553640237244,4.235643722793857
EGY,Egypt,22.109811597513236,21.929371777275986,21.441608962534772,19.92623584723796,9.871084656151918,6.834909562806306,5.223677780814048,4.144058744136232,2.9830552214314743
ESP,Spain,13.928958718587475,13.653122576194145,13.270331559207595,12.884670410593467,12.167988750195615,11.314320550864462,9.880388651914917,8.01709528325846,5.924647846925758
