0	3.595365	0.199333
1	3.850148	0.192625
2	4.043051	0.187973
3	4.075111	0.187233
4	4.242348	0.183505
5	4.252573	0.183284
6	4.274678	0.182810
7	4.296319	0.182349
8	4.268704	0.182938
9	4.266700	0.182981
10	4.317488	0.181901
11	4.302131	0.182226
12	4.294370	0.182390
13	4.272686	0.182852
14	4.145402	0.185638
15	4.082373	0.187066
16	3.945729	0.190277
17	3.727403	0.195771
18	3.547143	0.200683
19	3.381981	0.205525
20	3.224580	0.210482
21	3.141692	0.213240
22	2.890372	0.222318
23	2.754552	0.227733
24	2.669240	0.231343
25	2.564949	0.236000
26	2.423563	0.242786
27	2.228508	0.253188
28	2.061405	0.263251
29	2.005391	0.266902
30	1.925270	0.272399
31	1.691755	0.290591
32	1.519732	0.306597
33	1.421420	0.317022
34	1.272846	0.335014
35	1.189671	0.346527
36	1.232269	0.340485
37	0.887480	0.401210
38	0.944295	0.388953
39	0.693147	0.453982
40	0.693147	0.453982
41	0.618962	0.480418
42	0.451712	0.562367
