0	3.429364	0.204101
1	3.447731	0.203556
2	3.777668	0.194464
3	3.931826	0.190614
4	4.124825	0.186101
5	4.298251	0.182308
6	4.403225	0.180121
7	4.550862	0.177176
8	4.738704	0.173629
9	4.817972	0.172194
10	4.925179	0.170310
11	5.058975	0.168043
12	5.167234	0.166273
13	5.228812	0.165291
14	5.305437	0.164093
15	5.369307	0.163114
16	5.507074	0.161061
17	5.651987	0.158983
18	5.649478	0.159018
19	5.768321	0.157372
20	5.819659	0.156676
21	5.892829	0.155700
22	5.936781	0.155123
23	5.928448	0.155232
24	5.906530	0.155519
25	5.965780	0.154745
26	5.906530	0.155519
27	5.886501	0.155784
28	5.817962	0.156699
29	5.827683	0.156568
30	5.813276	0.156762
31	5.847265	0.156306
32	5.831463	0.156517
33	5.922345	0.155312
34	5.939795	0.155083
35	5.937913	0.155108
36	5.912343	0.155443
37	5.914662	0.155413
38	5.883322	0.155826
39	5.890458	0.155731
40	5.807713	0.156837
41	5.798659	0.156959
42	5.821355	0.156653
43	5.866468	0.156050
44	5.823046	0.156630
45	5.756195	0.157537
46	5.704735	0.158246
47	5.692287	0.158419
48	5.705684	0.158233
49	5.756195	0.157537
50	5.703782	0.158259
51	5.736572	0.157806
52	5.777652	0.157244
53	5.784265	0.157155
54	5.796058	0.156995
55	5.803414	0.156895
56	5.874127	0.155948
57	5.863631	0.156087
58	5.904972	0.155540
59	5.936404	0.155128
60	5.919662	0.155347
61	5.891249	0.155721
62	5.901461	0.155586
63	5.814984	0.156739
64	5.892039	0.155711
65	5.889274	0.155747
66	5.918509	0.155362
67	5.945421	0.155010
68	5.990391	0.154427
69	5.971991	0.154665
70	5.993605	0.154386
71	5.967610	0.154722
72	5.948408	0.154971
73	5.892434	0.155705
74	5.932624	0.155177
75	5.862008	0.156109
76	5.891644	0.155716
77	5.803842	0.156889
78	5.756647	0.157531
79	5.760701	0.157476
80	5.774996	0.157281
81	5.843544	0.156355
82	5.982497	0.154529
83	6.058789	0.153553
84	6.113999	0.152858
85	6.110833	0.152898
86	6.110200	0.152906
87	6.114631	0.152850
88	6.070738	0.153402
89	6.002476	0.154272
90	5.928069	0.155237
91	5.930729	0.155202
92	6.012318	0.154145
93	5.996452	0.154349
94	5.969439	0.154698
95	5.918509	0.155362
96	5.893615	0.155690
97	5.853434	0.156223
98	5.808572	0.156825
99	5.713261	0.158128
100	5.705684	0.158233
101	5.693732	0.158399
102	5.700922	0.158299
103	5.642921	0.159111
104	5.617811	0.159466
105	5.585641	0.159924
106	5.631724	0.159269
107	5.668401	0.158753
108	5.659980	0.158871
109	5.657491	0.158906
110	5.676264	0.158643
111	5.655492	0.158934
112	5.664449	0.158808
113	5.611042	0.159562
114	5.552405	0.160402
115	5.555723	0.160354
116	5.550744	0.160426
117	5.625049	0.159363
118	5.672340	0.158697
119	5.677243	0.158629
120	5.670867	0.158718
121	5.705211	0.158240
122	5.746203	0.157674
123	5.761602	0.157463
124	5.756195	0.157537
125	5.747117	0.157662
126	5.805566	0.156866
127	5.854252	0.156212
128	5.888482	0.155758
129	5.929209	0.155222
130	6.018245	0.154069
131	6.047372	0.153698
132	6.066771	0.153452
133	6.100319	0.153029
134	6.141730	0.152513
135	6.200509	0.151788
136	6.256573	0.151106
137	6.276643	0.150865
138	6.304449	0.150532
139	6.364751	0.149817
140	6.407588	0.149315
141	6.437294	0.148970
142	6.462360	0.148681
143	6.495697	0.148299
144	6.534826	0.147854
145	6.550467	0.147678
146	6.559413	0.147577
147	6.532959	0.147875
148	6.548424	0.147701
149	6.565668	0.147507
150	6.570282	0.147455
151	6.555764	0.147618
152	6.549651	0.147687
153	6.544733	0.147742
154	6.554137	0.147636
155	6.558198	0.147591
156	6.549242	0.147691
157	6.563654	0.147529
158	6.589320	0.147242
159	6.586763	0.147270
160	6.577464	0.147374
161	6.609927	0.147012
162	6.608771	0.147025
163	6.631625	0.146771
164	6.610311	0.147008
165	6.582816	0.147314
166	6.592653	0.147204
167	6.583607	0.147306
168	6.540617	0.147789
169	6.512593	0.148106
170	6.452500	0.148795
171	6.429719	0.149058
172	6.384471	0.149585
173	6.336573	0.150149
174	6.284668	0.150768
175	6.243889	0.151260
176	6.194405	0.151863
177	6.163014	0.152249
178	6.133398	0.152616
179	6.144492	0.152478
180	6.164218	0.152234
181	6.186503	0.151960
182	6.245000	0.151246
183	6.293419	0.150663
184	6.377213	0.149670
185	6.416031	0.149217
186	6.505143	0.148191
187	6.588730	0.147248
188	6.659111	0.146468
189	6.678342	0.146257
190	6.743386	0.145550
191	6.792505	0.145023
192	6.917422	0.143707
193	6.996551	0.142892
194	7.052474	0.142325
195	7.119174	0.141656
196	7.187873	0.140978
197	7.248402	0.140388
198	7.329468	0.139609
199	7.393439	0.139004
200	7.459997	0.138383
201	7.506905	0.137950
202	7.560378	0.137461
203	7.625874	0.136869
204	7.722171	0.136013
205	7.858751	0.134826
206	7.985436	0.133752
207	8.118760	0.132650
208	8.209969	0.131911
209	8.298682	0.131204
210	8.394606	0.130452
211	8.502370	0.129623
212	8.607399	0.128829
213	8.681981	0.128275
214	8.781577	0.127545
215	8.872868	0.126888
216	8.932854	0.126461
217	9.009465	0.125922
218	9.069024	0.125508
219	9.132888	0.125068
220	9.220432	0.124473
221	9.275539	0.124103
222	9.317553	0.123823
223	9.352348	0.123592
224	9.435653	0.123045
225	9.531077	0.122428
226	9.611214	0.121916
227	9.684941	0.121451
228	9.755857	0.121009
229	9.799824	0.120737
230	9.841240	0.120483
231	9.864264	0.120342
232	9.906960	0.120083
